date,grace,sgrace,err,err2
2002-04-15,8.24,8.95,20.23,20.63
2002-04-30,7.8,8.47,20.23,20.63
2002-05-15,7.46,8.101428571428572,20.23,20.63
2002-05-30,7.12,7.732857142857143,20.23,20.63
2002-06-14,6.779999999999999,7.364285714285715,20.23,20.63
2002-06-29,6.4399999999999995,6.9957142857142856,20.23,20.63
2002-07-14,6.1,6.627142857142857,20.23,20.63
2002-07-29,5.76,6.258571428571429,20.23,20.63
2002-08-13,5.42,5.89,20.23,20.63
2002-08-28,2.465,2.6799999999999997,20.23,20.63
2002-09-12,-0.49,-0.53,20.23,20.63
2002-09-27,17.080000000000002,18.56,20.23,20.63
2002-10-12,34.65,37.65,20.23,20.63
2002-10-27,25.9,28.14,20.23,20.63
2002-11-11,17.15,18.63,20.23,20.63
2002-11-26,10.674999999999999,11.594999999999999,20.23,20.63
2002-12-11,4.2,4.56,20.23,20.63
2002-12-26,6.945,7.539999999999999,20.23,20.63
2003-01-10,9.69,10.52,20.23,20.63
2003-01-25,2.8,3.039999999999999,20.23,20.63
2003-02-09,-4.09,-4.44,20.23,20.63
2003-02-24,-4.305,-4.675000000000001,20.23,20.63
2003-03-11,-4.52,-4.91,20.23,20.63
2003-03-26,-2.3049999999999997,-2.505,20.23,20.63
2003-04-10,-0.09,-0.1,20.23,20.63
2003-04-25,-1.6150000000000002,-1.7550000000000001,20.23,20.63
2003-05-10,-3.14,-3.41,20.23,20.63
2003-05-25,-2.33,-2.5300000000000002,20.23,20.63
2003-06-09,-1.52,-1.6500000000000001,20.23,20.63
2003-06-24,-0.71,-0.77,20.23,20.63
2003-07-09,0.1,0.11,20.23,20.63
2003-07-24,5.74,6.24,20.23,20.63
2003-08-08,11.38,12.37,20.23,20.63
2003-08-23,2.255000000000001,2.4499999999999993,20.23,20.63
2003-09-07,-6.87,-7.47,20.23,20.63
2003-09-22,0.8250000000000002,0.8899999999999997,20.23,20.63
2003-10-07,8.52,9.25,20.23,20.63
2003-10-22,11.17,12.135,20.23,20.63
2003-11-06,13.82,15.02,20.23,20.63
2003-11-21,14.02,15.235,20.23,20.63
2003-12-06,14.22,15.45,20.23,20.63
2003-12-21,19.575,21.265,20.23,20.63
2004-01-05,24.93,27.08,20.23,20.63
2004-01-20,23.23,25.235,20.23,20.63
2004-02-04,21.53,23.39,20.23,20.63
2004-02-19,12.350000000000001,13.415000000000001,20.23,20.63
2004-03-05,3.17,3.44,20.23,20.63
2004-03-20,3.17,3.44,20.23,20.63
2004-04-04,3.17,3.44,20.23,20.63
2004-04-19,6.25,6.785,20.23,20.63
2004-05-04,9.33,10.13,20.23,20.63
2004-05-19,7.375,8.01,20.23,20.63
2004-06-03,5.42,5.89,20.23,20.63
2004-06-18,8.465,9.2,20.23,20.63
2004-07-03,11.51,12.51,20.23,20.63
2004-07-18,6.796666666666666,7.386666666666667,20.23,20.63
2004-08-02,2.083333333333332,2.2633333333333336,20.23,20.63
2004-08-17,-2.63,-2.86,20.23,20.63
2004-09-01,-11.28,-12.26,20.23,20.63
2004-09-16,-1.1449999999999996,-1.2449999999999992,20.23,20.63
2004-10-01,8.99,9.77,20.23,20.63
2004-10-16,9.633333333333333,10.469999999999999,20.23,20.63
2004-10-31,10.276666666666667,11.17,20.23,20.63
2004-11-15,10.92,11.87,20.23,20.63
2004-11-30,12.895,14.015,20.23,20.63
2004-12-15,14.87,16.16,20.23,20.63
2004-12-30,13.905,15.11,20.23,20.63
2005-01-14,12.94,14.06,20.23,20.63
2005-01-29,12.254999999999999,13.315000000000001,20.23,20.63
2005-02-13,11.57,12.57,20.23,20.63
2005-02-28,6.4350000000000005,6.995,20.23,20.63
2005-03-15,1.3,1.42,20.23,20.63
2005-03-30,4.505,4.9,20.23,20.63
2005-04-14,7.71,8.38,20.23,20.63
2005-04-29,13.274999999999999,14.420000000000002,20.23,20.63
2005-05-14,18.84,20.46,20.23,20.63
2005-05-29,18.310000000000002,19.89,20.23,20.63
2005-06-13,17.78,19.32,20.23,20.63
2005-06-28,15.555,16.905,20.23,20.63
2005-07-13,13.33,14.49,20.23,20.63
2005-07-28,10.8,11.74,20.23,20.63
2005-08-12,8.27,8.99,20.23,20.63
2005-08-27,8.76,9.52,20.23,20.63
2005-09-11,9.25,10.05,20.23,20.63
2005-09-26,15.19,16.505000000000003,20.23,20.63
2005-10-11,21.13,22.96,20.23,20.63
2005-10-26,17.66,19.185000000000002,20.23,20.63
2005-11-10,14.19,15.41,20.23,20.63
2005-11-25,12.83,13.935,20.23,20.63
2005-12-10,11.47,12.46,20.23,20.63
2005-12-25,10.99,11.940000000000001,20.23,20.63
